sector,name,phone,phone_type,email,email_verified,email_source,website,address,postcode,city,opening_hours,extracted_at,latitude,longitude
accountant,Abaci,+34932176882,fijo,adrian.gallego@abaci.es,True,website,https://www.abaci.es/,"Carrer de Balmes 191, 5º 4ª",,,,2026-06-28,41.3968224,2.1522087
accountant,MGA Consultant Derecho & Finanzas,+34933871916,fijo,,,,,Carrer de Casp 56,08010,Barcelona,,2026-06-28,41.3916071,2.1739358
accountant,Consultoria Mateos,+34934097530,fijo,,,,,Carrer de Portbou 54,08028,Barcelona,,2026-06-28,41.377565,2.1264673
accountant,Uson Assessors,,,,,,,"Plaça de Gal·la Placídia 11, 1º 1ª",,,,2026-06-28,41.3989302,2.1525005
accountant,Conta & Fin,,,,,,,Avinguda Diagonal 474,,,,2026-06-28,41.3961748,2.1559187
accountant,3D & Van Der,,,,,,,Carrer del Cigne 7,,,,2026-06-28,41.4006002,2.1541279
accountant,Gestoria Santiveri,,,,,,,Carrer de Provença 222,,Barcelona,,2026-06-28,41.3908727,2.1567752
accountant,F Assessor,,,,,,,,,,,2026-06-28,41.3919,2.1445
accountant,Alpha Espai,,,,,,,,,,,2026-06-28,41.4045886,2.203157
architect,Vora Arquitectura,+34935533919,fijo,vora@vora.cat,True,osm,https://www.vora.cat/,Carrer de Sant Pere Més Alt 62,08003,Barcelona,,2026-06-28,41.3888835,2.1776017
architect,Raons Públiques,+34931814025,fijo,info@raonspubliques.org,True,osm,http://raonspubliques.org/,Carrer de la Concòrdia 30,08004,Barcelona,,2026-06-28,41.3735621,2.1601495
architect,Lacol,+34931720677,fijo,info@lacol.coop,True,osm,https://www.lacol.coop/,Riera d'Escuder 28,08028,Barcelona,Mo-Fr 09:00-18:00,2026-06-28,41.3759149,2.1320986
architect,Traçat,+34932184933,fijo,trasat@trasat.com,True,osm,http://www.trasat.com/es,"Carrer de Balmes 228-230, 4º 2ª",,,,2026-06-28,41.3989387,2.1511423
architect,Franc Fernandez,+34667511920,movil,franc@francfernandez.es,True,osm,https://www.francfernandez.es/arquitectura/,"Carrer d'Aribau 230-240, 5º H",,,,2026-06-28,41.3958926,2.1501463
architect,Zaga,+34933012485,fijo,hello@zaga.com.es,True,osm,https://zaga.com.es/,"Avinguda Diagonal 484-486, 4º 1ª",,,,2026-06-28,41.3957656,2.15505
architect,Area Urbana,+34934160743,fijo,areaurbana@coac.es,True,osm,https://ca.areaur.com/,"Carrer de Balmes 152, 6º 5ª",,,,2026-06-28,41.3945319,2.1562159
architect,Fernando Agustí Dominguez,+34932171913,fijo,fernando.agusti@coac.net,True,osm,http://www.faarq.es/,"Carrer de Balmes 184, 2º 1ª",,,,2026-06-28,41.396558,2.1535624
architect,B\TA,+34934585804,fijo,bta@bta.cat,True,osm,https://bta.cat/,"Avinguda Diagonal 538, 3º 1ª",,,,2026-06-28,41.394768,2.1514645
architect,Ferrés,+34932417711,fijo,proyectos@ferresarquitectos.com,True,osm,https://ferresarquitectos.com/about.html,Carrer de Regàs 3,,,,2026-06-28,41.3983603,2.1523713
architect,Emba_Estudi Massip-Bosch Architects,+34932112268,fijo,emba@emba.cat,True,website,https://www.emba.cat/,Carrer de Muntaner 400,08006,Barcelona,Mo-Fr 09:00-18:00,2026-06-28,41.4001337,2.1417761
architect,Pujadó Soler Arquitectura y Edificación,+34932208141,fijo,info@pujado-soler.com,True,osm,https://pujado-soler.com,Carrer de Santaló 60,08021,Barcelona,Mo-Th 09:00-19:00; Fr 09:00-15:00; Sa-Su off,2026-06-28,41.3966526,2.1447021
architect,Arquitectos Barcelona,+34623922003,movil,info@arquitectosbarcelona.cat,True,osm,https://arquitectosbarcelona.cat/,Carrer de Maspons i Labrós 19,08041,Barcelona,,2026-06-28,41.4188525,2.1739548
architect,Al-Top Topografia S.A.,+34933400573,fijo,,,,https://www.al-top.com,Bofarull 14,,,,2026-06-28,41.4153075,2.1880272
architect,Mateo Arquitectura,+34932186358,fijo,,,,https://www.mateo-arquitectura.com/,Carrer de Teodor Roviralta 37-39,08035,Barcelona,,2026-06-28,41.4136803,2.1324442
architect,Col·lectiu Volta,,,col.lectiu.volta@gmail.com,True,osm,https://voltaarquitectes.org/,Carrer de la Mare de Déu del Coll 96,,Barcelona,,2026-06-28,41.4119796,2.1469668
architect,Bigas Group,,,bigasgrup@grupbg.com,True,website,https://www.bigasgrup.com/,Doctor Trueta 46,08005,Barcelona,,2026-06-28,41.3916956,2.1945038
architect,EMA ascensors,+34934094291,fijo,,,,http://emaascensors.com/,Avinguda de Madrid 52,08028,Barcelona,,2026-06-28,41.3772612,2.1257048
architect,Mare Nostrum Arquitectura,,,mnarquitectura@mnarquitectura.es,True,osm,https://www.mnarquitectura.es/,"Carrer de Balmes 191, 5º 1ª",,,,2026-06-28,41.3968128,2.1522191
architect,Basark,,,belen.agusti@coac.net,True,osm,https://www.basark.com/,"Carrer de Tuset 23-25, 1º 5ª",,,,2026-06-28,41.3961648,2.1508327
architect,Manrique Planas,,,estudi@manrique-planas.com,True,osm,http://manrique-planas.com/,"Avinguda Diagonal 484-486, 4º 1ª",,,,2026-06-28,41.3957719,2.1550753
architect,Mendoza Partida,,,info@mendozapartida.com,True,osm,http://mendozapartida.com/,"Carrer de Balmes 152, 6º 5ª",,,,2026-06-28,41.3945225,2.1562284
architect,Miguel Calvo,,,miguelcalvogallego@gmail.com,True,osm,https://bcnarquitecto.com/,"Carrer de Balmes 188, 6º 2ª",,,,2026-06-28,41.3968478,2.1532207
